repo,url,flags,identity_frac,lag_frames,dup_episode_frac,episodes_sampled,codebase,confirmed,notes
ConnorJiang/qg_act_double_rm75_cup_scan_2,https://huggingface.co/datasets/ConnorJiang/qg_act_double_rm75_cup_scan_2,action_equals_state,1.000,0.0,0.000,1,v2.0,,
RoboCOIN/Airbot_MMK2_storage_onion_sweet_potato,https://huggingface.co/datasets/RoboCOIN/Airbot_MMK2_storage_onion_sweet_potato,action_equals_state,1.000,0.0,0.000,1,v2.1,,
qingshu123/Airbot_MMK2_storage_egg_white_box,https://huggingface.co/datasets/qingshu123/Airbot_MMK2_storage_egg_white_box,action_equals_state,1.000,0.0,0.000,1,v2.1,,
FedorX8/dobbe_lerobot,https://huggingface.co/datasets/FedorX8/dobbe_lerobot,duplicate_episodes,nan,nan,0.000,4579,v3.0,,
Mimic-Robotics/full_ttt_redx_NEWTASKNAME,https://huggingface.co/datasets/Mimic-Robotics/full_ttt_redx_NEWTASKNAME,duplicate_episodes,0.000,2.0,0.029,678,v3.0,,
yianW/cloth_hanger_data_v0,https://huggingface.co/datasets/yianW/cloth_hanger_data_v0,duplicate_episodes,0.059,1.0,0.500,480,v3.0,,
radioKale/so100_test_02_20260615_104905,https://huggingface.co/datasets/radioKale/so100_test_02_20260615_104905,large_lag|duplicate_episodes,0.000,3.0,0.020,50,v3.0,,
rslxcvg/task2_v2,https://huggingface.co/datasets/rslxcvg/task2_v2,large_lag|duplicate_episodes,0.000,3.0,0.833,180,v3.0,,
vis22/act_rightbiscuit_20260728_175044,https://huggingface.co/datasets/vis22/act_rightbiscuit_20260728_175044,stuck_state|action_equals_state,1.000,0.0,0.000,50,v3.0,,
Kovavavvavava/pick_toys_human_1_ss_filter,https://huggingface.co/datasets/Kovavavvavava/pick_toys_human_1_ss_filter,stuck_state|action_equals_state|negative_lag,1.000,-5.0,0.000,1,v2.1,,
geonmin-kim/SO101-large-blue-fpv-D6251-0810,https://huggingface.co/datasets/geonmin-kim/SO101-large-blue-fpv-D6251-0810,stuck_state|large_lag|duplicate_episodes,0.000,5.0,0.463,82,v3.0,,
Chibaa/rollout_0718_20260724_195935,https://huggingface.co/datasets/Chibaa/rollout_0718_20260724_195935,stuck_state|negative_lag,0.000,-3.0,0.000,1,v3.0,,
omnaathg/trial_so101_4,https://huggingface.co/datasets/omnaathg/trial_so101_4,stuck_state|negative_lag,0.000,-5.0,0.000,1,v3.0,,
schronn/record-test_20260701_162939,https://huggingface.co/datasets/schronn/record-test_20260701_162939,stuck_state|negative_lag,0.000,-1.0,0.000,2,v3.0,,
zouhan/record-test,https://huggingface.co/datasets/zouhan/record-test,stuck_state|negative_lag,0.000,-5.0,0.000,1,v2.1,,
Hailey-5-2026/grab_block_20ep_20260908_180440,https://huggingface.co/datasets/Hailey-5-2026/grab_block_20ep_20260908_180440,stuck_state|negative_lag|duplicate_episodes,0.000,-5.0,0.550,20,v3.0,,
